date,price,volume,vix,dxy,fng,hashrate,difficulty,active_addresses,fees_btc,tx_count,funding_mean,funding_abs
2017-10-06,4370.81005859375,1069939968,9.64999961853027,93.8000030517578,,8882939.96198973,1123863285132,,,,,
2017-10-07,4426.89013671875,906928000,9.64999961853027,93.8000030517578,,8827072.41505898,1123863285132,,,,,
2017-10-08,4610.47998046875,1313869952,9.64999961853027,93.8000030517578,,10167893.5413971,1123863285132,,,,,
2017-10-09,4772.02001953125,1968739968,10.3299999237061,93.7399978637695,,8994675.05585124,1123863285132,,,,,
2017-10-10,4781.990234375,1597139968,10.0799999237061,93.2900009155273,,8938807.50892049,1123863285132,,,,,
2017-10-11,4826.47998046875,1222279936,9.85000038146973,92.9599990844727,,7765589.02337467,1123863285132,,,,,
2017-10-12,5446.91015625,2791610112,9.90999984741211,93.120002746582,,8547734.68040521,1123863285132,,,,,
2017-10-13,5647.2099609375,3615480064,9.60999965667725,93.0899963378906,,7597986.38258241,1123863285132,,,,,
2017-10-14,5831.7900390625,1669030016,9.60999965667725,93.0899963378906,,7877324.11723618,1123863285132,,,,,
2017-10-15,5678.18994140625,1976039936,9.60999965667725,93.0899963378906,,11601113.0653046,1182954806242.91,,,,,
2017-10-16,5725.58984375,2008070016,9.90999984741211,93.2799987792969,,10351762.4275025,1196792694098,,,,,
2017-10-17,5605.509765625,1821570048,10.3100004196167,93.4899978637695,,9756833.55235872,1196792694098,,,,,
2017-10-18,5590.68994140625,2399269888,10.0699996948242,93.3600006103516,,8983426.01467175,1196792694098,,,,,
2017-10-19,5708.52001953125,1780540032,10.0500001907349,93.2699966430664,,10589733.9775601,1196792694098,,,,,
2017-10-20,6011.4501953125,2354429952,9.97000026702881,93.6999969482422,,10649226.8650745,1196792694098,,,,,
2017-10-21,6031.60009765625,2207099904,9.97000026702881,93.6999969482422,,9102411.78970051,1196792694098,,,,,
2017-10-22,6008.419921875,2034630016,9.97000026702881,93.6999969482422,,10827705.5276176,1196792694098,,,,,
2017-10-23,5930.31982421875,2401840128,11.0699996948242,93.9400024414063,,10173283.7649594,1196792694098,,,,,
2017-10-24,5526.64013671875,2735699968,11.1599998474121,93.9599990844727,,9935312.21490186,1196792694098,,,,,
2017-10-25,5750.7998046875,1966989952,11.2299995422363,93.7099990844727,,11006184.1901607,1196792694098,,,,,
2017-10-26,5904.830078125,1905040000,11.3000001907349,94.6100006103516,,12999790.2869909,1233777273049.23,,,,,
2017-10-27,5780.89990234375,1710130048,9.80000019073486,94.9199981689453,,7510989.94359475,1452839779145,,,,,
2017-10-28,5753.08984375,1403920000,9.80000019073486,94.9199981689453,,6138789.85774571,1452839779145,,,,,
