date,dxy
2020-01-27,97.9599990844727
2020-01-28,98.0199966430664
2020-01-29,97.9899978637695
2020-01-30,97.870002746582
2020-01-31,97.3899993896485
2020-02-02,
2020-02-03,97.8000030517578
2020-02-04,97.9599990844727
2020-02-05,98.2699966430664
2020-02-06,98.5
2020-02-07,98.6800003051758
2020-02-09,
2020-02-10,98.8300018310547
2020-02-11,98.7200012207031
2020-02-12,99.0500030517578
2020-02-13,99.0699996948242
2020-02-14,99.120002746582
2020-02-16,
2020-02-18,99.4599990844727
2020-02-19,99.5999984741211
2020-02-20,99.870002746582
2020-02-21,99.2600021362305
2020-02-23,
2020-02-24,99.2900009155274
2020-02-25,98.9700012207031
2020-02-26,99
2020-02-27,98.4400024414063
2020-02-28,98.129997253418
2020-03-01,
2020-03-02,97.3600006103516
2020-03-03,97.1500015258789
2020-03-04,97.3399963378906
2020-03-05,96.8199996948242
2020-03-06,95.9499969482422
2020-03-08,
2020-03-09,94.9000015258789
2020-03-10,96.4100036621094
2020-03-11,96.5100021362305
2020-03-12,97.4700012207031
2020-03-13,98.75
2020-03-15,
2020-03-16,98.0899963378906
2020-03-17,99.5800018310547
2020-03-18,101.160003662109
2020-03-19,102.76000213623
2020-03-20,102.819999694824
2020-03-22,
2020-03-23,102.48999786377
2020-03-24,101.73999786377
2020-03-25,101.050003051758
2020-03-26,99.4199981689453
2020-03-27,98.370002746582
2020-03-29,
2020-03-30,99.1800003051758
2020-03-31,99.0500030517578
2020-04-01,99.6699981689453
2020-04-02,100.180000305176
2020-04-03,100.580001831055
2020-04-05,
2020-04-06,100.690002441406
2020-04-07,99.9800033569336
2020-04-08,100.120002746582
2020-04-09,99.5199966430664
2020-04-12,
2020-04-13,99.3499984741211
2020-04-14,98.8899993896484
2020-04-15,99.4599990844727
2020-04-16,100.029998779297
2020-04-17,99.7799987792969
2020-04-19,
2020-04-20,99.9599990844727
2020-04-21,100.26000213623
2020-04-22,100.389999389648
2020-04-23,100.430000305176
2020-04-24,100.379997253418
2020-04-26,
2020-04-27,100.040000915527
2020-04-28,99.870002746582
2020-04-29,99.5699996948242
2020-04-30,99.0199966430664
2020-05-01,98.8000030517578
2020-05-03,
2020-05-04,99.4800033569336
2020-05-05,99.7099990844727
2020-05-06,100.089996337891
2020-05-07,99.8899993896485
2020-05-08,99.7300033569336
2020-05-10,
2020-05-11,100.23999786377
2020-05-12,99.9300003051758
2020-05-13,100.23999786377
2020-05-14,100.470001220703
2020-05-15,100.400001525879
2020-05-17,
2020-05-18,99.6699981689453
2020-05-19,99.370002746582
2020-05-20,99.120002746582
2020-05-21,99.370002746582
2020-05-22,99.8600006103516
2020-05-24,
2020-05-26,98.9100036621094
2020-05-27,99.0599975585938
2020-05-28,98.379997253418
2020-05-29,98.3399963378906
2020-05-31,
2020-06-01,97.8300018310547
2020-06-02,97.6699981689453
2020-06-03,97.2799987792969
2020-06-04,96.6800003051758
2020-06-05,96.9400024414062
2020-06-07,
2020-06-08,96.620002746582
2020-06-09,96.3199996948242
2020-06-10,95.9599990844727
2020-06-11,96.7300033569336
2020-06-12,97.3199996948242
2020-06-14,
2020-06-15,96.6800003051758
2020-06-16,96.9599990844727
2020-06-17,97.1600036621094
2020-06-18,97.4199981689453
2020-06-19,97.620002746582
2020-06-21,
2020-06-22,97.0400009155274
2020-06-23,96.6900024414063
2020-06-24,97.1500015258789
2020-06-25,97.4300003051758
2020-06-26,97.5
2020-06-28,
2020-06-29,97.5400009155273
2020-06-30,97.3899993896485
2020-07-01,97.1999969482422
2020-07-02,97.3199996948242
2020-07-05,
2020-07-06,96.7900009155274
2020-07-07,96.879997253418
2020-07-08,96.4300003051758
2020-07-09,96.6999969482422
2020-07-10,96.6500015258789
2020-07-12,
2020-07-13,96.4599990844727
2020-07-14,96.2600021362305
2020-07-15,96.0800018310547
2020-07-16,96.3499984741211
2020-07-17,95.9400024414063
2020-07-19,
2020-07-20,95.8300018310547
2020-07-21,95.120002746582
2020-07-22,94.9700012207031
2020-07-23,94.6900024414063
2020-07-24,94.4400024414062
2020-07-26,
2020-07-27,93.6699981689453
2020-07-28,93.7600021362305
2020-07-29,93.2600021362305
2020-07-30,93.0199966430664
2020-07-31,93.4899978637695
2020-08-02,
2020-08-03,93.5
2020-08-04,93.379997253418
2020-08-05,92.8300018310547
2020-08-06,92.7900009155274
2020-08-07,93.4400024414063
2020-08-09,
2020-08-10,93.5800018310547
2020-08-11,93.629997253418
2020-08-12,93.4400024414063
2020-08-13,93.3399963378906
2020-08-14,93.0999984741211
2020-08-16,
2020-08-17,92.8499984741211
2020-08-18,92.2699966430664
2020-08-19,92.8899993896484
2020-08-20,92.7900009155274
2020-08-21,93.25
2020-08-23,
2020-08-24,93.3000030517578
2020-08-25,93.0199966430664
2020-08-26,93.0100021362305
2020-08-27,93.0100021362305
2020-08-28,92.370002746582
2020-08-30,
2020-08-31,92.1399993896484
2020-09-01,92.3399963378906
2020-09-02,92.8499984741211
2020-09-03,92.7399978637695
2020-09-04,92.7200012207031
2020-09-06,
2020-09-08,93.4800033569336
2020-09-09,93.2600021362305
2020-09-10,93.3399963378906
2020-09-11,93.3300018310547
2020-09-13,
2020-09-14,93.0699996948242
2020-09-15,93.0500030517578
2020-09-16,93.2099990844727
2020-09-17,92.9700012207031
2020-09-18,92.9300003051758
2020-09-20,
2020-09-21,93.5400009155273
2020-09-22,93.9899978637695
2020-09-23,94.3899993896484
2020-09-24,94.3499984741211
2020-09-25,94.5800018310547
2020-09-27,
2020-09-28,94.2600021362305
2020-09-29,93.8899993896484
2020-09-30,93.8899993896484
2020-10-01,93.7099990844727
2020-10-02,93.8399963378906
2020-10-04,
2020-10-05,93.5100021362305
2020-10-06,93.8300018310547
2020-10-07,93.629997253418
2020-10-08,93.6100006103516
2020-10-09,93.0599975585938
2020-10-11,
2020-10-12,93.0699996948242
2020-10-13,93.5299987792969
2020-10-14,93.379997253418
2020-10-15,93.8600006103516
2020-10-16,93.6800003051758
2020-10-18,
2020-10-19,93.4300003051758
2020-10-20,93.0699996948242
2020-10-21,92.6100006103516
2020-10-22,92.9499969482422
2020-10-23,92.7699966430664
2020-10-25,
2020-10-26,93.0500030517578
2020-10-27,92.9400024414062
2020-10-28,93.4100036621094
2020-10-29,93.9599990844727
2020-10-30,94.0400009155274
2020-11-01,
2020-11-02,94.0500030517578
2020-11-03,93.5500030517578
2020-11-04,93.4100036621094
2020-11-05,92.5299987792969
2020-11-06,92.2300033569336
2020-11-08,
2020-11-09,92.7300033569336
2020-11-10,92.75
2020-11-11,93.0400009155274
2020-11-12,92.9599990844727
2020-11-13,92.7600021362305
2020-11-15,
2020-11-16,92.5699996948242
2020-11-17,92.4199981689453
2020-11-18,92.3199996948242
2020-11-19,92.2900009155273
2020-11-20,92.3899993896484
2020-11-22,
2020-11-23,92.5100021362305
2020-11-24,92.2300033569336
2020-11-25,91.9899978637695
2020-11-27,91.7900009155274
2020-11-29,
2020-11-30,91.870002746582
2020-12-01,91.3099975585938
2020-12-02,91.120002746582
2020-12-03,90.7099990844727
2020-12-04,90.6999969482422
2020-12-06,
2020-12-07,90.7900009155273
2020-12-08,90.9700012207031
2020-12-09,91.0899963378906
2020-12-10,90.7900009155273
2020-12-11,90.9800033569336
2020-12-13,
2020-12-14,90.7099990844727
2020-12-15,90.4700012207031
2020-12-16,90.4499969482422
2020-12-17,89.8199996948242
2020-12-18,90.0199966430664
2020-12-20,
2020-12-21,90.0400009155274
2020-12-22,90.6500015258789
2020-12-23,90.4100036621094
2020-12-24,90.3300018310547
2020-12-27,
2020-12-28,90.3399963378906
2020-12-29,90.0100021362305
2020-12-30,89.629997253418
2020-12-31,89.9400024414063
2021-01-03,
2021-01-04,89.879997253418
2021-01-05,89.4400024414063
2021-01-06,89.5299987792969
2021-01-07,89.8300018310547
2021-01-08,90.0999984741211
2021-01-10,
2021-01-11,90.5400009155274
2021-01-12,90.0500030517578
2021-01-13,90.3199996948242
2021-01-14,90.2399978637695
2021-01-15,90.7799987792969
2021-01-17,
2021-01-19,90.5
2021-01-20,90.4700012207031
2021-01-21,90.129997253418
2021-01-22,90.2399978637695
2021-01-24,
2021-01-25,90.3899993896484
2021-01-26,90.1699981689453
2021-01-27,90.6500015258789
2021-01-28,90.4599990844727
2021-01-29,90.5800018310547
2021-01-31,
2021-02-01,91.0199966430664
2021-02-02,91.1999969482422
2021-02-03,91.120002746582
2021-02-04,91.5299987792969
2021-02-05,91.0400009155273
2021-02-07,
2021-02-08,90.9300003051758
2021-02-09,90.4400024414062
2021-02-10,90.370002746582
2021-02-11,90.4199981689453
2021-02-12,90.4800033569336
2021-02-14,
2021-02-16,90.5100021362305
2021-02-17,90.9499969482422
2021-02-18,90.5899963378906
2021-02-19,90.3600006103516
